ISIN Code,Lowest Accepted Yield,Average Yield,Highest Accepted Yield,Average Rate of Discount (%),Average Price per £100 Nominal (£),Tail (In Yield Terms),Amount Tendered For (£),Amount On Offer (£),Bid to Cover Ratio,Amount Allocated (£),Maturity (Months),Maturity Date,Highest Yield % Filled,Date
GB00B3K18323,0.544,0.564982,0.573,0.564187,99.859339606131,0.008018,5142800000,1500000000,3.43,1500000000.0,3,2011-07-18,79.4,2011-04-15
GB00B3NJQ288,0.6,0.6534949999999999,0.66,0.6513720000000001,99.67520604720104,0.0065049999999999995,6748600000,1500000000,4.5,1499994500.0,6,2011-10-17,83.55,2011-04-15
GB00B3K20F10,0.46,0.495731,0.51,0.495549,99.963342930007,0.014269,3656750000,1500000000,2.44,1499861800.0,1,2011-05-23,1.66,2011-04-22
GB00B3NJQ171,0.5,0.552914,0.565,0.552161,99.86385066024201,0.012086,4769500000,1500000000,3.18,1499885000.0,3,2011-07-25,8.3,2011-04-22
GB00B6GY3V99,0.588,0.638115,0.65,0.6361020000000001,99.684563043689,0.011885,4294000000,1500000000,2.86,1500000000.0,6,2011-10-24,80.4,2011-04-22
GB00B3K25D41,0.48,0.501186,0.52,0.500993,99.961567630944,0.018814,2603000000,1500000000,1.74,1499993900.0,1,2011-05-31,66.19,2011-04-29
GB00B3NJWC07,0.539,0.560995,0.569,0.5602199999999999,99.861863546504,0.008005,3134500000,1500000000,2.09,1499990000.0,3,2011-08-01,53.66,2011-04-29
GB00B6GY9F51,0.6,0.6339859999999999,0.649,0.631999,99.686597719757,0.015013999999999996,5224000000,1500000000,3.48,1499960000.0,6,2011-10-31,28.66,2011-04-29
GB00B3K2B030,0.48,0.494745,0.504,0.494557,99.962061357773,0.009255,5178000000,1500000000,3.45,1499995000.0,1,2011-06-06,20.33,2011-05-06
GB00B3NK2127,0.53,0.538617,0.539,0.537895,99.865894749438,0.000383,7747400000,1500000000,5.16,1499955000.0,3,2011-08-08,97.7,2011-05-06
GB00B6GYDF38,0.55,0.599016,0.611,0.597232,99.702202054893,0.011984,10045500000,1500000000,6.7,1500000000.0,6,2011-11-07,6.6,2011-05-06
GB00B3K2G203,0.47,0.492708,0.502,0.492522,99.962217502485,0.009292,4078300000,1500000000,2.72,1499997000.0,1,2011-06-13,1.69,2011-05-13
GB00B3K20D95,0.509,0.525273,0.531,0.524586,99.869212802945,0.005727,5888550000,1500000000,3.93,1500000000.0,3,2011-08-15,24.6,2011-05-13
GB00B6GYL046,0.57,0.590094,0.6,0.588363,99.70662457185101,0.009906,6647550000,1500000000,4.43,1499989175.0,6,2011-11-14,52.43,2011-05-13
GB00B3K0JK37,0.485,0.49839,0.507,0.4982,99.961781954241,0.00861,3291850000,1500000000,2.19,1500000000.0,1,2011-06-20,76.3,2011-05-20
GB00B3NKD649,0.498,0.517834,0.529,0.517166,99.871062643873,0.011166,5575900000,1500000000,3.72,1499985000.0,3,2011-08-22,43.3,2011-05-20
GB00B3NYGZ68,0.57,0.587707,0.594,0.58599,99.70780784258899,0.006293,7821500000,1500000000,5.21,1499980000.0,6,2011-11-21,52.77,2011-05-20
GB00B6GXG956,0.48,0.500233,0.509,0.5000479999999999,99.963010150567,0.008767,4925000000,1500000000,3.28,1500000000.0,1,2011-06-27,78.1,2011-05-27
GB00B3NYGL23,0.509,0.527049,0.5489999999999999,0.526357,99.868771178787,0.021951,3848700000,1500000000,2.57,1499993900.0,3,2011-08-30,12.07,2011-05-27
GB00B6GZ0W23,0.57,0.5824550000000001,0.589,0.580778,99.711997997954,0.0065450000000000005,7166000000,1500000000,4.78,1499985600.0,6,2011-11-28,44.03,2011-05-27
GB00B3K2RX89,0.48,0.5005930000000001,0.511,0.500401,99.961613086416,0.010407,2509000000,1500000000,1.67,1500000000.0,1,2011-07-04,64.0,2011-06-03
GB00B6GWYF43,0.5,0.5279630000000001,0.541,0.527269,99.868543903013,0.013037,3922200000,1500000000,2.61,1500000000.0,3,2011-09-05,71.6,2011-06-03
GB00B6GZ5P01,0.5589999999999999,0.576209,0.583,0.574558,99.71350796249,0.006790999999999999,6619000000,1500000000,4.41,1499965000.0,6,2011-12-05,71.77,2011-06-03
GB00B6GZ9B45,0.55,0.5586770000000001,0.569,0.557125,99.72220068536899,0.010323,6559500000,1500000000,4.37,1499950600.0,6,2011-12-12,3.66,2011-06-10
GB00B6GX3G17,0.495,0.52187,0.529,0.521192,99.870059011497,0.00713,6643200000,1500000000,4.43,1499998100.0,3,2011-09-12,67.81,2011-06-10
